outcome,method,beta,se,p
HepaticFat,blood_lead_Wald,-0.029257058484914104,0.048329422517930085,0.5449348844774
HepaticFat,muscle_IVW,-0.029862667712241824,0.03486791072888918,0.3917481955702584
HepaticFat,blood_r2.01_IVW,-0.007974923586687237,0.04492601972761443,0.8591059610344651
HepaticFat,blood_r2.1_LDcorr_IVW,0.003626618444259881,0.04139339973950056,0.9301839139282071
FI_EUR,blood_lead_Wald,-0.01622919613084695,0.010835767325747918,0.13419999999998056
FI_EUR,muscle_IVW,-0.004901175447543843,0.007866916333713924,0.5332772903374763
FI_EUR,blood_r2.01_IVW,-0.011376188244743313,0.010553018799290022,0.2810323192183224
FI_EUR,blood_r2.1_LDcorr_IVW,-0.008762647016852658,0.009069342809259582,0.33395249803838656
FG_EUR,blood_lead_Wald,-0.008738797916609895,0.009113184758053602,0.33759999999999724
FG_EUR,blood_r2.01_IVW,-0.010572728403206503,0.007824132819192225,0.1766002636664885
FG_EUR,blood_r2.1_LDcorr_IVW,-0.003977145969343525,0.00600952219835991,0.5080946941525732
HbA1c_EUR,blood_lead_Wald,0.008114598065423475,0.006237782559150729,0.19329999999996783
HbA1c_EUR,muscle_IVW,0.004362789000389831,0.0064394803841913584,0.49808472781241275
HbA1c_EUR,blood_r2.01_IVW,0.00747797040437893,0.00547302077882341,0.17183438146717833
HbA1c_EUR,blood_r2.1_LDcorr_IVW,0.011818292870389532,0.005645119487326997,0.03630082846996108
2hGlu_EUR,blood_lead_Wald,0.009987197618982738,0.0765518611618192,0.8961999999999992
2hGlu_EUR,muscle_IVW,0.024935303217144992,0.10243311858633902,0.8076722367353608
2hGlu_EUR,blood_r2.01_IVW,-0.006935071951577507,0.07013012809480063,0.9212267004212349
2hGlu_EUR,blood_r2.1_LDcorr_IVW,0.01750639518105023,0.07035530154637236,0.8034935431279897
T2D_Xue2018,blood_lead_Wald,-0.013108196874914843,0.04997649506168878,0.7930999999999997
T2D_Xue2018,muscle_IVW,-0.03085169352541661,0.03513268345741313,0.3798634409106625
T2D_Xue2018,blood_r2.1_LDcorr_IVW,0.0051505303020022335,0.048780061738706346,0.9159102034936057
BMI,blood_lead_Wald,0.036827791219998844,0.011859797172542002,0.0019010980249349885
BMI,muscle_IVW,-9.118856268262317e-05,0.008539582901440558,0.9914800799497909
BMI,blood_r2.01_IVW,0.03887143356418793,0.011022378635897993,0.0004209447104022157
BMI,blood_r2.1_LDcorr_IVW,0.025483953372412212,0.010146507864429574,0.012018575893574912
