SNP	b1	vb1	b2	vb2
rs2302511	-0.07200047429897624	0.01083202364375101	0.0162	0.00249001
rs6486352	-0.09531206296285077	0.00014018230240076755	-0.0316	4.096e-05
rs61762002	0.051452332479102816	0.0004532780099921803	-0.01	0.000144
rs12273798	-0.055837760012820245	0.0009393055835467761	0.0015	0.00020164000000000003
rs16933873	0.03535883373157143	0.00021467093012790238	-0.0037	6.4e-05
rs6486353	-0.07200047429897624	0.01083202364375101	0.0163	0.00249001
rs72860715	0.08599917372200522	0.0023911401398245854	-0.0304	0.00052441
rs61879716	0.5255392699917126	0.08190738834800991	0.0358	0.00121801
rs55998333	-0.02726682697827478	0.0017711414410973105	-0.0119	0.00041208999999999994
rs7946010	-0.09640427106488396	0.00014014265757980986	-0.0307	4.096e-05
rs10466419	0.023185026673165413	0.002844696375038198	0.0764	0.0005152900000000001
rs1471980	0.03422075986879181	0.0002140700890845408	-0.0038	6.4e-05
rs1967077	0.031186628060499745	0.00022368734206147076	-0.0037	6.4e-05
rs71469371	-0.0637641687597223	0.0004825575325581538	-0.0152	0.00016641
rs6416174	-0.05412058031632291	0.010911832854211824	0.0166	0.00249001
rs12576590	-0.04532118412224544	0.01087484442397626	0.0159	0.00249001
rs214906	-0.09473910573062264	0.0001403193236825968	-0.0314	4.096e-05
rs214905	-0.05675128409713372	0.000936175369650278	0.0006	0.00020164000000000003
rs75218178	0.032962653640074946	0.0005591377140993404	-0.0254	0.00017956000000000002
rs2008905	-0.08989253732274297	0.00014464593309039534	-0.0312	4.225e-05
rs1989405	-0.09463510966291284	0.00014020069198539053	-0.0316	4.096e-05
rs10741723	0.011414306270036312	0.0013435747279486377	0.003	0.0007128900000000001
rs214940	-0.09489719174735392	0.00014020188572810412	-0.0315	4.096e-05
rs12804000	-0.09514752141089333	0.00014019286510861775	-0.0315	4.096e-05
rs35361429	-0.06449178836655693	0.0004803700223374253	-0.0153	0.000169
rs214939	-0.09514799434876738	0.00014019425879033173	-0.0316	4.096e-05
rs189141558	-0.2071353737283623	0.03364858497621657	-0.0534	0.0015132099999999999
rs214938	0.07946464875822205	0.0001625636200716706	0.0383	4.9000000000000005e-05
rs113588445	-0.00028972114174124754	0.0028785438947823063	-0.0098	0.0004972900000000001
rs150135459	0.041928045866263544	0.002272676158333928	-0.0003	0.00072361
rs116934522	-0.007138625620436585	0.01936397362483941	-0.0161	0.00145161
rs214937	-0.0959056342841172	0.00014030814263028173	-0.0316	4.096e-05
rs4757498	-0.06736159279868165	0.009126899452308497	0.0169	0.0025502500000000004
rs214936	-0.09546560057149331	0.00014024379354786844	-0.031	4.096e-05
rs11826763	0.13697448512936267	0.002283524959844205	0.0572	0.00067081
rs214935	0.09664758116119425	0.00014041265300364635	0.0303	4.096e-05
rs4757499	0.18542302212681164	0.013057223501102388	-0.0042	0.00266256
rs214934	0.07984460538918119	0.00016252730510234544	0.0399	4.624e-05
rs10832741	-0.05492797261306603	0.000937750971630322	0.002	0.00020164000000000003
rs12421951	0.11501010522825837	0.0011563077360242523	0.0378	0.00022201
rs214933	0.08122194222867778	0.00015870021349067252	0.0385	4.624e-05
rs12225195	0.0450218268256735	0.010856196452682711	-0.0143	0.00249001
rs184084748	0.011970077318492587	0.07075691407935342	-0.0236	0.00209764
rs214932	0.07955373001832704	0.00016293352615150432	0.0397	4.624e-05
rs61879720	-0.08626462376888006	0.0012096425040765695	-0.0233	0.00028560999999999994
rs11826970	0.034235639169457134	0.0002151015504514091	-0.0039	6.4e-05
rs11820060	0.1433565769566309	0.0024022223312457	0.0537	0.0006812100000000001
rs61879721	0.015909063678005552	0.0003254985448160809	0.0019	9.025e-05
rs11024180	0.030929038921856115	0.00022221858177705255	-0.0065	6.724000000000001e-05
rs620241	0.09576210110400388	0.00014019306353597218	0.0316	4.096e-05
rs76856412	0.16521843432854172	0.002924214892052489	0.0613	0.0007128900000000001
rs7925960	0.05351973655860367	0.00045505221329994797	-0.0103	0.000144
rs651513	0.09525151533056485	0.00014026200674138818	0.0309	4.096e-05
rs7945756	0.04840435130756319	0.012548744472822882	-0.0145	0.00249001
rs6486354	0.09572750194071099	0.00014020269999896715	0.0317	4.096e-05
rs7108067	0.07911747248065273	0.0001635463043518088	0.0401	4.624e-05
rs667984	0.0953877653464262	0.00014019949014089912	0.0317	4.096e-05
