SNP	b1	vb1	b2	vb2
rs432276	-0.1817996920464098	0.0006347537487991733	-0.0241	0.00031684
rs8097034	0.2012068667098733	0.0006116548459316186	0.0229	0.00033124
rs375200	-0.19934509077599982	0.0006637923108398521	-0.0232	0.00032761000000000004
rs7243771	0.19767131776795366	0.0005737275750486879	0.0246	0.00035344
rs11876064	0.15021349665517986	0.0005458206983622355	0.0147	0.00025921
rs663744	-0.20110633777090448	0.0006738828483517644	-0.0248	0.00033489
rs118011187	-0.029055321056586318	0.0016513505436966274	-0.004	0.00040804
rs140433690	-0.20429662507239388	0.10107434650444605	0.0865	0.00161604
rs111667085	-0.047564307867656086	6.818238023505811e-05	0.0098	4.225e-05
rs117635615	-0.04088205359214366	0.0039028227249146515	0.0038	0.00142884
rs116987972	-0.04701575465894016	0.0012672971763040787	-0.0166	0.00066564
rs388645	-0.18679606122966322	0.0006495113290348411	-0.0239	0.00031329000000000003
rs56891718	-0.04748820540788623	6.894712078127264e-05	0.0106	4.761e-05
rs11082222	0.18910599399223357	0.0005760901329397666	0.025	0.00031684
rs76828988	-0.02783584092483041	0.0004923425385582574	0.0052	0.00026896000000000005
rs11873284	0.18598901256319086	0.000562254096003918	0.0254	0.00031684
rs143430768	-0.060967943039338925	0.005583791837030771	0.0084	0.0010304099999999998
rs34043550	0.02702131269529037	0.0012165942919940918	-0.0047	0.000256
rs74628072	-0.03234545918485091	0.0004938581466024317	0.0043	0.00030976
rs138986788	0.017539601287801455	0.006281691523245368	0.0293	0.0013176899999999998
rs150906144	0.09614127366813278	0.10161482375310021	-0.0717	0.00401956
rs113338444	0.19489197206506464	0.0005779197737387451	0.0241	0.00032761000000000004
rs117841998	0.47815913018485906	0.0030958829201835993	0.002	0.0007840000000000001
rs1680092	-0.19498121822026743	0.0006642174603538247	-0.0229	0.00032399999999999996
rs9964005	-0.03592639763989843	0.0014325569164062167	-0.0032	0.00045369
rs115409103	-0.03045337099899282	0.022132733837436195	0.0192	0.0026936100000000004
rs72879467	-0.058974237404863794	0.0042852039211331155	-0.0099	0.00091809
rs147325189	-0.005151114216620982	0.005858308404335952	0.0259	0.00121801
rs116900829	-0.030821370535305644	0.00048047575372357776	0.0063	0.00028560999999999994
rs191830650	0.47815913018485906	0.0030958829201835993	0.0032	0.0007840000000000001
rs77265397	-0.01990764482973047	0.0002077731946241598	-0.0007	0.000144
rs10164256	0.20135081901208593	0.0005955451348379657	0.023	0.00033124
rs77699176	0.03636555992666285	0.0008588295691528403	0.0473	0.00052441
rs7239190	0.18087952139604427	0.000558516399692186	0.0275	0.00031684
rs148312429	-1.1755457035257213	0.4886320941076702	0.1056	0.01996569
rs112260982	0.1986175487540867	0.0005946823527706813	0.0244	0.00032761000000000004
rs4800461	0.1895881042535767	0.0005633222811261861	0.0258	0.00031684
rs4800462	0.19023927128479864	0.0006137173344047934	0.0232	0.00032041
rs11659436	-0.0355364012483674	0.0006254892662537779	0.0079	0.00046656000000000003
rs73959811	0.1943635654823217	0.0006218194976669541	0.0239	0.00031684
rs2046169	-0.036501073941453695	0.00019406284791858536	0.0111	0.00013225
rs117441302	0.46424761095518946	0.0030338106209567483	-0.0006	0.00079524
rs60176203	0.19215657734297137	0.0006128627594699947	0.024	0.00033124
rs11872236	0.19838827207013773	0.0006744289884339632	0.0235	0.00032761000000000004
rs8092628	0.19821462518861488	0.0006744313741635615	0.0234	0.00032399999999999996
rs57017813	-0.029595260823446025	0.00025842633384714906	0.0042	0.00013689
rs141314372	0.05090410679050636	0.08451491333953498	0.0372	0.0015920099999999998
rs117665175	-0.0005816030011023247	0.003010520210851109	-0.0052	0.00153664
rs7226589	0.21417613406562236	0.0006792521401590145	0.0224	0.00033489
rs137885609	-0.006689558404642994	0.005858305752390404	0.0264	0.00118336
rs143946535	-0.030023767006731854	0.0004885836852445072	0.007	0.00027556
rs11660183	-0.023274456877038063	6.688833113676295e-05	0.0086	4.3559999999999996e-05
rs78806064	0.2153313448351989	0.0006797497499138143	0.0226	0.00033489
rs73959812	0.19843708876637872	0.0006749376301337844	0.0236	0.00032399999999999996
rs4800479	0.2252373231313979	0.0007025345761145619	0.0226	0.00033489
rs1383798	0.2259052032918065	0.0007210256098044652	0.0231	0.00033489
rs76387802	-0.03545131010777673	0.0017580748231693125	-0.0229	0.00066049
rs7235426	0.19825117560513603	0.0006643000477660766	0.0238	0.00032761000000000004
rs28414500	0.1988882182611335	0.000674931420788684	0.0234	0.00032761000000000004
rs77994140	0.20399270038089853	0.0006455471599181939	0.0222	0.00032761000000000004
rs77474948	0.46166555725703595	0.0030159526262282734	0.0037	0.0007672899999999999
rs141590297	-0.01563021893030507	0.0005509498796628594	0.0085	0.00045795999999999993
rs10221288	0.1982614642073636	0.0006642999070041961	0.0233	0.00032399999999999996
rs145291599	-0.019043340617900608	0.0006061297979230116	0.0058	0.00025921
rs8099505	0.19849712486917107	0.0006744274918431726	0.0234	0.00032399999999999996
rs2086509	0.19547703112264728	0.0006472518159665138	0.0234	0.00032399999999999996
rs112711493	0.20416011905418419	0.0006091451196700168	0.0242	0.00033124
rs4800499	0.20034408843820847	0.0005987860253912425	0.0232	0.00032761000000000004
rs113568298	0.2004600466444181	0.0006764389198137049	0.0236	0.00032761000000000004
rs59200264	0.13525610316657377	0.0007233533057997892	-0.0183	0.10712528999999998
rs28623035	0.023356655511609793	0.000131473811244074	0.0091	8.464e-05
rs79055743	0.22437387272871898	0.0006904149662357121	0.0227	0.00033124
rs9950610	0.19934638762341564	0.0006703695144778225	0.0279	0.00031684
rs8085812	0.19717403073590642	0.0006603938097017464	0.0241	0.00032761000000000004
rs9950026	0.19840550429509732	0.0006642979355755524	0.0241	0.00032399999999999996
rs9956652	0.20545059557551903	0.0006095384920070055	0.0249	0.00033124
rs4563127	0.19811818312969623	0.0006749420110431778	0.0251	0.00033489
rs113703357	0.026603873148832825	0.021461399967711993	0.1058	0.0029052100000000005
rs72879482	-0.08691401697972678	0.002527786447604151	-0.0152	0.00093025
rs9304376	0.19840550429509732	0.0006642979355755524	0.024	0.00032399999999999996
rs147960638	-0.00767691750261226	0.005858303687334253	0.0241	0.0012110399999999998
rs9962826	0.20041520134293614	0.0005991819095570413	0.024	0.00032761000000000004
rs75188720	0.2184084043020498	0.0006525542482268948	0.0242	0.00033124
rs57166041	0.21854389444319666	0.000653991202902592	0.0239	0.00033124
rs8093467	-0.025011828583064475	6.651505860283178e-05	0.0114	4.624e-05
rs112081716	0.11228196502997921	0.03269164759710061	0.0113	0.00120409
rs150324369	0.026538457937772833	0.0019947389720595906	0.0056	0.00101124
rs192456399	0.16381430083606863	0.025304505233656373	0.0649	0.00173056
rs146382823	-0.12333736837317005	0.005698907028766305	0.0201	0.0010497599999999998
rs28840757	0.20463016076721532	0.0006041571781229438	0.0246	0.00032761000000000004
rs8085319	-0.02487642222346196	0.0011565041030587753	0.0332	0.0005664400000000001
rs28767591	0.1991277450447927	0.0006821423152279264	0.0239	0.00032761000000000004
rs112552738	0.20515537974514508	0.0006111911962824573	0.0247	0.00032761000000000004
rs113156618	0.20524872061976235	0.000776653329860782	0.0238	0.00032761000000000004
rs111579304	0.22320474259079018	0.000684103662328841	0.0238	0.00033124
rs142097694	-0.008160120537776394	0.0016079195694761847	-0.0106	0.0009424900000000001
rs112915023	0.20544423345369955	0.0006116009096955845	0.0246	0.00032761000000000004
rs148715965	0.02638662268295618	0.0005771991017751506	-0.0131	0.00029241
rs4800525	0.2009685912859294	0.0006085453228847205	0.0235	0.00032761000000000004
rs4380133	0.2228674184870068	0.000693136419556299	0.0234	0.00033489
rs1126061	0.22322080122287552	0.000704242818168928	0.0222	0.00033124
